GWAC,Loan Count,% of Orig Bal,Orig Balance,Purchase Amount,% Curr Bal,Curr Balance,Avg Loan Bal,GWAC,Orig FICO,DTI,WALA,WAM,Percent 30+ DQ
<= 2.99%,922,0.019454773,15742135.82,15740279.53,0.052819205,11150336.12,12212.85446,0,701.3083215,0.196152451,19.95812779,38.15929722,0.461891965
3.00% - 3.99%,45,0.000981761,794407.27,794407.27,0.000742238,156689.19,6528.71625,0.037079186,790.3496092,0.117981055,22.79210525,15.45638656,0
4.00% - 4.99%,583,0.014117173,11423132.66,11394037.33,0.005326324,1124407.36,7546.358121,0.047633512,757.9371812,0.143280896,22.39463869,15.71505026,0
5.00% - 5.99%,2203,0.046630979,37732190.17,37654601.11,0.01626202,3432974.7,9752.769034,0.055428524,757.7817037,0.127611125,19.45320431,19.44413745,0.003997417
6.00% - 6.99%,3320,0.06992664,56582241.13,56492853.2,0.040837655,8620985.06,13242.68058,0.065201649,764.8320204,0.12050943,16.53249713,30.21848275,0.006029878
7.00% - 7.99%,3639,0.088300334,71449604.2,71363999.43,0.069319672,14633647.76,13676.30632,0.075476049,757.5335122,0.128181555,17.06458019,34.88371754,0.019840599
8.00% - 8.99%,2175,0.050947122,41224665.16,41185814.45,0.058045021,12253525.92,15221.77133,0.084547933,752.223713,0.14604568,13.31226854,36.64849945,0.004820528
9.00% - 9.99%,2161,0.048905256,39572457.05,39467690.27,0.057089578,12051828.25,16486.76915,0.095547375,741.8886274,0.170076903,12.04017277,40.55575067,0.011430199
>=10.00% ,35673,0.660735963,534644900.8,534000268.9,0.699558288,147679429.5,13352.57048,0.175604748,709.2904967,0.192041935,11.24639919,42.02171244,0.032010875
Total,50721,1,809165734.3,808093951.4,1,211103823.9,13399.16369,0.142285373,719.9421712,0.179609516,12.69236966,39.91831109,0.049409188
